ID	Line	LenhSX	MaHang	POID	PO	DauSizeID	DauSize	ColorID	MaMau	SizeID	Size	MocTgian	SPLoi	MaCongDoan	Code	PageX	PageY	NgayKiem	IsQC	LanKiem	StatusHT	NgayHT	StatusKiemLai	Image	NoiDungLoi	StatusKT	ImageKiemLai	NhanVienKiem	NVKiemLai	NgayKiemlai	CheckKiem	StatusKiemMau	Module
1	102	1	0088 521 04 V0.0	DH_6|5010420	5010420	0	0	MAU_Z9	BLACK	SIZE_85	85	4	1	2.4	A3	0	0	2025-09-15 20:49:00.000	1	1	0	NULL	0	102_0088 521 04 V00_15092025_204910473_0.png	 Bọ cao thấp	0	NULL	Cherry Inline	NULL	NULL	NULL	0	NULL
2	102	1	0088 521 04 V0.0	DH_6|5010420	5010420	0	0	MAU_Z9	BLACK	SIZE_85	85	4	2	2.10	A12	0	0	2025-09-15 20:49:00.000	1	1	0	NULL	0			0	NULL	Cherry Inline	NULL	NULL	NULL	0	NULL
3	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	1	2.4	A14	0	0	2025-09-16 10:19:00.000	1	1	0	NULL	0	104_0088 388 13 V02_16092025_111934868_0.png		0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
4	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	1	2.4	A1	0	0	2025-09-16 10:19:00.000	1	1	0	NULL	0	104_0088 388 13 V02_16092025_111934868_0.png		0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
5	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	2	2.4	A14	0	0	2025-09-16 10:19:00.000	1	1	0	NULL	0		 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
6	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	2	2.4	A1	0	0	2025-09-16 10:19:00.000	1	1	0	NULL	0		 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
7	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	3	2.4	A14	0	0	2025-09-16 10:19:00.000	1	1	0	NULL	0		 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
8	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	3	2.4	A1	0	0	2025-09-16 10:19:00.000	1	1	0	NULL	0		 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
9	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	1	2.4	A14	0	0	2025-09-16 10:19:00.000	1	1	0	NULL	0	104_0088 388 13 V02_16092025_111934868_0.png		0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
10	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	1	2.4	A1	0	0	2025-09-16 10:19:00.000	1	1	0	NULL	0	104_0088 388 13 V02_16092025_111934868_0.png		0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
11	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	4	2.3	A7	0	0	2025-09-16 10:23:00.000	1	1	0	NULL	0		 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
12	101	6	SA-893-208-133	DH_21|PO_610333000	PO 610333000	0	0	MAU_NAVY	NAVY	SIZE_22	22	2	1	2.1	A7	0	0	2025-09-16 10:25:00.000	1	1	0	NULL	0	101_SA893208133_16092025_102529110_0.png	 	0	NULL	DAISY INLINE	NULL	NULL	NULL	0	NULL
13	109	7	0088 342 29 V0.2	DH_15|5010288	5010288	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_L	L	2	1	2.11	A2	0	0	2025-09-16 10:46:00.000	1	1	0	NULL	0	109_0088 342 29 V02_16092025_104617769_0.png	 	0	NULL	PANSY INLINE	NULL	NULL	NULL	0	NULL
14	104	4	0088 388 13 V0.2	DH_19|CN106628	CN106628	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	5	2.1	D5	0	0	2025-09-16 11:26:00.000	1	1	0	NULL	0	104_0088 388 13 V02_16092025_112649387_0.png	 Vắt sổ lưng nối chỉ ( chỉ thừa+ ko nhặt sạch chỉ) 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
15	104	4	0088 388 13 V0.2	DH_19|5010287	5010287	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	3	1	2.1	A5	0	0	2025-09-16 13:20:00.000	1	1	0	NULL	0	104_0088 388 13 V02_16092025_132032671_0.png	 Xì lưng 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
16	104	4	0088 388 13 V0.2	DH_19|5010287	5010287	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	3	2	2.1	A2	0	0	2025-09-16 13:24:00.000	1	1	0	NULL	0	104_0088 388 13 V02_16092025_132459222_0.png	 Đứt chỉ ráp gối t.trước	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
17	102	1	0088 521 04 V0.0	DH_6|5010420	5010420	0	0	MAU_Z9	BLACK	SIZE_100	100	4	1	2.2	A5	0	0	2025-09-16 16:24:00.000	1	2	0	NULL	0	102_0088 521 04 V00_16092025_162425695_0.png	 Bọ cao thấp	0	NULL	Cherry inline	NULL	NULL	NULL	0	NULL
18	103	18	0088 342 29 V0.2	DH_52|PO 5010432	PO 5010432	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_L	L	4	1	2.7	A6	0	0	2025-09-16 17:49:00.000	1	1	0	NULL	0		 Thiếu bọ, đệm bọ túi thước	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
19	106	13	110055	DH_13|ORDER_G	ORDER_G	0	0	MAU_DEEP_FOREST	DEEP FOREST	SIZE_M	M	1	1	1.4	A12	0	0	2025-09-17 08:49:00.000	1	1	0	NULL	0	106_110055_17092025_084908331_0.png	 	0	NULL	Iris inline	NULL	NULL	NULL	0	NULL
20	109	16	0088 342 29 V0.2	DH_51|PO 5010441	PO 5010441	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_L	L	1	1	2.1	D5	0	0	2025-09-17 08:52:00.000	1	1	0	NULL	0	109_0088 342 29 V02_17092025_085238858_0.png	 May ngược dây passant	0	NULL	PANSY INLINE	NULL	NULL	NULL	0	NULL
21	106	13	110055	DH_13|ORDER_G	ORDER_G	0	0	MAU_DEEP_FOREST	DEEP FOREST	SIZE_XL	XL	1	1	1.20	D5	0	0	2025-09-17 09:04:00.000	1	1	0	NULL	0	106_110055_17092025_090458400_0.png	Hụt dây kéo thân trước số với thân	0	NULL	Iris inline	NULL	NULL	NULL	0	NULL
