ID	Line	LenhSX	MaHang	POID	PO	DauSizeID	DauSize	ColorID	MaMau	SizeID	Size	MocTgian	SoLuongKiem	SoLuongKCS	SoLuongLoi	SuaDat	HangLoai	NgayKiem	NhanVienKiem	IsQC	LanKiem	StatusHT	NgayHT	StatusKiemLai	StatusKiemMau	GhiChu	SignPTDonVi	SignToTruong	SignNVKiem	Module	NguyenNhan	KetQua
940	106	354	Tokyo Metropolis Winter Jackets	DH_314|CH25573	CH25573	0	0	MAU_WW_UJO_ASGR_3L	SCARLET	SIZE_M	M	1	40	0	5	NULL	NULL	2026-01-30 00:00:00.000	Iris inline	1	26	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân không cẩn thận/ Sửa	1
944	105	369	111066-120-H2R6	DH_418|5010536	5010536	0	0	MAU_H2R6	HV-YELLOW/NAVY	SIZE_XL	XL	1	30	0	4	NULL	NULL	2026-01-30 00:00:00.000	Cosmos inline	1	1	1	2026-01-30 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không/Sửa	1
946	102	244	TEA25-Y_XR20R	DH_220|106674055	106674055	REG	REG	MAU_OR	ORANGE-OR	SIZE_LGE	LGE	1	10	0	1	NULL	NULL	2026-01-30 00:00:00.000	Cherry inline	1	12	1	2026-01-30 00:00:00.000	0	0		NULL	NULL	NULL	NULL	CN ko chú ý.sửa	1
947	109	239	EA25-AA_XR2OR	DH_216|106674048	106674048	REG	REG	MAU_OR	ORANGE	SIZE_XL	XL	1	20	0	1	NULL	NULL	2026-01-30 00:00:00.000	PANSY INLINE	1	10	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân không cẩn thận => Sửa	1
948	102	244	TEA25-Y_XR20R	DH_220|106674055	106674055	REG	REG	MAU_OR	ORANGE-OR	SIZE_LGE	LGE	1	10	0	1	NULL	NULL	2026-01-30 00:00:00.000	Cherry inline	1	13	1	2026-01-30 00:00:00.000	0	0		NULL	NULL	NULL	NULL	CN ko chú ý.sửa	1
949	108	286	AP2500	DH_276|VK031	VK031	0	0	MAU_NA	NAVY	SIZE_LL	LL	1	15	0	1	NULL	NULL	2026-01-31 00:00:00.000	Lotus inline	1	13	1	2026-01-31 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận -> sửa	1
952	104	345	LZN-00223	DH_317|5010474	5010474	0	0	MAU_R6	NAVY	SIZE_S	S	1	15	0	2	NULL	NULL	2026-01-31 00:00:00.000	Orchid inline	1	3	1	2026-01-31 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận -> sửa	1
953	106	354	Tokyo Metropolis Winter Jackets	DH_314|CH25573	CH25573	0	0	MAU_WW_UJO_ASGR_3L	SCARLET	SIZE_M	M	1	40	0	4	NULL	NULL	2026-01-31 00:00:00.000	Iris inline	1	27	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân không cẩn thận/ Sửa	1
954	102	399	TEA2-CO_PR2GG	DH_283|106683217	106683217	REG	REG	MAU_PR2GG	GOLD GRID	SIZE_MED	MED	1	10	0	3	NULL	NULL	2026-01-31 00:00:00.000	Cherry inline	1	1	1	2026-01-31 00:00:00.000	0	0		NULL	NULL	NULL	NULL	CN ko chú ý.sửa	1
957	105	369	111066-120-H2R6	DH_418|5010536	5010536	0	0	MAU_H2R6	HV-YELLOW/NAVY	SIZE_L	L	1	20	0	3	NULL	NULL	2026-01-31 00:00:00.000	Cosmos inline	1	2	1	2026-01-31 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận/Sửa	1
961	106	354	Tokyo Metropolis Winter Jackets	DH_314|CH25573	CH25573	0	0	MAU_WW_UJO_ASGR_3L	SCARLET	SIZE_M	M	1	40	0	2	NULL	NULL	2026-02-01 00:00:00.000	Iris inline	1	28	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân không cẩn thận/ Sửa	1
962	108	286	AP2500	DH_276|VK031	VK031	0	0	MAU_NA	NAVY	SIZE_LL	LL	1	30	0	2	NULL	NULL	2026-02-01 00:00:00.000	Lotus inline	1	16	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân không cẩn thận -> sửa	1
967	103	533	AP1000	DH_71|LOT3	LOT3	0	0	MAU_ROYAL_BLUE	ROYAL BLUE	SIZE_L	L	1	30	0	2	NULL	NULL	2026-02-01 00:00:00.000	Tulip inline	1	6	1	2026-02-01 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận/Sửa	1
968	106	354	Tokyo Metropolis Winter Jackets	DH_314|CH25573	CH25573	0	0	MAU_WW_UJO_ASGR_3L	SCARLET	SIZE_3L	3L	1	20	0	2	NULL	NULL	2026-02-01 00:00:00.000	Iris inline	1	29	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân không cẩn thận/ Sửa	1
969	108	286	AP2500	DH_276|VK031	VK031	0	0	MAU_NA	NAVY	SIZE_LL	LL	1	15	0	1	NULL	NULL	2026-02-02 00:00:00.000	Lotus inline	1	17	1	2026-02-02 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận -> sửa	1
970	107	163	HASUDA　Fire Department JK	DH_172|VK05	VK05	0	0	MAU_GD	GOLD	SIZE_L	L	1	5	0	1	NULL	NULL	2026-02-02 00:00:00.000	Antigone inline	1	1	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân ko cẩn thận _ sửa	1
971	101	404	0088 521 04 V0.0	DH_253|5010541	5010541	0	0	MAU_V8	ANTHRACITE	SIZE_90	90	1	50	0	4	NULL	NULL	2026-02-02 00:00:00.000	DAISY INLINE	1	2	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân gắn lộn dây-> sửa	1
975	107	163	HASUDA　Fire Department JK	DH_172|VK05	VK05	0	0	MAU_GD	GOLD	SIZE_LL	LL	1	19	0	1	NULL	NULL	2026-02-02 00:00:00.000	Antigone inline	1	3	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân ko cẩn thận  _ sửa	1
978	108	286	AP2500	DH_276|VK031	VK031	0	0	MAU_NA	NAVY	SIZE_LL	LL	1	10	0	4	NULL	NULL	2026-02-02 00:00:00.000	Lotus inline	1	18	1	2026-02-02 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Dập xử lý 5n3l	1
979	103	533	AP1000	DH_71|LOT3	LOT3	0	0	MAU_ROYAL_BLUE	ROYAL BLUE	SIZE_L	L	1	30	0	3	NULL	NULL	2026-02-02 00:00:00.000	Tulip inline	1	7	1	2026-02-02 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận/Sửa	1
980	105	369	111066-120-H2R6	DH_418|5010536	5010536	0	0	MAU_H2R6	HV-YELLOW/NAVY	SIZE_XL	XL	1	30	0	3	NULL	NULL	2026-02-02 00:00:00.000	Cosmos inline	1	3	1	2026-02-02 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận/Sửa	1
981	104	344	LZN-00223	DH_318|5010504	5010504	0	0	MAU_R6	NAVY	SIZE_S	S	1	15	0	1	NULL	NULL	2026-02-02 00:00:00.000	Orchid inline	1	8	1	2026-02-02 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận -> sửa	1
983	107	163	HASUDA　Fire Department JK	DH_172|VK05	VK05	0	0	MAU_GD	GOLD	SIZE_L	L	1	5	0	1	NULL	NULL	2026-02-03 00:00:00.000	Antigone inline	1	4	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân không cẩn thận _sửa	1
986	104	344	LZN-00223	DH_318|5010504	5010504	0	0	MAU_R6	NAVY	SIZE_M	M	1	15	0	2	NULL	NULL	2026-02-03 00:00:00.000	Orchid inline	1	9	1	2026-02-03 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận -> sửa	1
951	108	286	AP2500	DH_276|VK031	VK031	0	0	MAU_NA	NAVY	SIZE_LL	LL	1	15	0	1	NULL	NULL	2026-01-31 00:00:00.000	Lotus inline	1	15	1	2026-01-31 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận -> sửa	1
959	107	175	OTA Fire Department  (RESCUE) JK	DH_184|VK05	VK05	0	0	MAU_M3	ORANGE-M3	SIZE_3L	3L	1	3	0	1	NULL	NULL	2026-01-31 00:00:00.000	Antigone inline	1	1	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân ko cẩn thận  _sửa	1
960	107	175	OTA Fire Department  (RESCUE) JK	DH_184|VK05	VK05	0	0	MAU_M3	ORANGE-M3	SIZE_XXO	XXO	1	2	0	1	NULL	NULL	2026-01-31 00:00:00.000	Antigone inline	1	2	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân ko cẩn thận _sửa	1
964	104	344	LZN-00223	DH_318|5010504	5010504	0	0	MAU_R6	NAVY	SIZE_2XL	2XL	1	15	0	1	NULL	NULL	2026-02-01 00:00:00.000	Orchid inline	1	5	1	2026-02-01 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận -> sửa	1
972	102	171	MIYAZUYOZA Fire Department  PT	DH_180|VK05	VK05	0	0	MAU_GD	GOLD	SIZE_LL	LL	1	4	0	1	NULL	NULL	2026-02-02 00:00:00.000	Cherry inline	1	1	1	2026-02-02 00:00:00.000	0	0		NULL	NULL	NULL	NULL	CN ko chú ý.sửa	1
987	106	420	24FD035 HIGASHINE Jacket-INNER JACKET	DH_439|VK05	VK05	0	0	MAU_GD	GOLD	SIZE_3L	3L	1	7	0	2	NULL	NULL	2026-02-03 00:00:00.000	Iris inline	1	1	1	2026-02-03 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Công nhân không cẩn thận/ Sửa	1
990	106	420	24FD035 HIGASHINE Jacket-INNER JACKET	DH_439|VK05	VK05	0	0	MAU_GD	GOLD	SIZE_LL	LL	1	7	0	NULL	NULL	NULL	2026-02-03 00:00:00.000	Iris inline	1	2	1	2026-02-03 00:00:00.000	0	0		NULL	NULL	NULL	NULL	Đạt	1
992	106	423	23FD030 HITACHI Jacket-INNER JACKET	DH_442|VK05	VK05	0	0	MAU_NV	NAVY	SIZE_3L	3L	1	11	0	1	NULL	NULL	2026-02-03 00:00:00.000	Iris inline	1	1	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL
995	109	398	RSA-B_FP2YE	DH_284|106680521	106680521	REG	REG	MAU_YE	YELLOW	SIZE_XL	XL	1	10	0	1	NULL	NULL	2026-02-03 00:00:00.000	PANSY INLINE	1	3	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân không cẩn thận => Sửa	1
996	103	533	AP1000	DH_71|LOT3	LOT3	0	0	MAU_ROYAL_BLUE	ROYAL BLUE	SIZE_LL	LL	1	30	0	1	NULL	NULL	2026-02-03 00:00:00.000	Tulip inline	1	8	0	NULL	0	0	NULL	NULL	NULL	NULL	NULL	Công nhân không cẩn thận/Sửa	1
