ID	LineX	LenhSX	MaHang	SPOID	PO	DauSizeID	DauSize	ColorID	MaMau	SizeID	Size	SLTong	SLThungKiem	SoLuongKCS	SoLuongKiem	SoLuongLoi	SuaDat	HangLoai	NgayKiem	AQL	NhanVienKiem	IsQC	LanKiem	StatusHT	Module	NgayHT	NVDuyet	NgayDuyet	NoiDung	SttThung	SignCNCL	SignNVKiem	SignPTDonVi	SignKT	SignToTruong	IsDonHang	StatusView	NgaySign	NgaySignKT
525	104	328	KAIJI JUMPSUIT	All	NULL	0	0	MAU_KB8245	GOLD-KB8245	SIZE_SIZE_2	SIZE 2	35	0	35	5	NULL	NULL	NULL	2026-01-14 14:06:07.937	NULL	QA	0	2	2	1	2026-01-14 14:47:07.573	NULL	NULL	NULL	38-43	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL
986	102	104	TSUBAME-YAHIKO Fire Department PT	104|DH_123|VK05	NULL	0	0	MAU_P_RD	P. RED	SIZE_3L_12	3L-12	1	0	1	1	NULL	NULL	NULL	2026-01-17 09:47:36.667	NULL	QA	0	10	3	1	2026-01-17 09:47:46.990	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL
957	102	104	TSUBAME-YAHIKO Fire Department PT	104|DH_123|VK05	NULL	0	0	MAU_P_RD	P. RED	SIZE_3L_4	3L-4	1	0	1	1	NULL	NULL	NULL	2026-01-17 09:31:53.463	NULL	QA	0	7	3	1	2026-01-17 09:33:00.097	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL
1016	107	102	TSUBAME-YAHIKO Fire Department JK	102|DH_121|VK05	NULL	0	0	MAU_P_RD	P. RED	SIZE_3L	3L	1	0	1	1	NULL	NULL	NULL	2026-01-17 11:35:32.587	NULL	QA	0	3	3	1	2026-01-17 11:35:40.827	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL
2277	102	379	TXF-ID_XA7YG	All	NULL	REG	REG	MAU_YG	GOLD	SIZE_LGE	LGE	117	0	117	20	NULL	NULL	NULL	2026-01-24 13:15:44.840	NULL	QA	0	6	3	1	2026-01-24 13:15:52.250	NULL	NULL	 sau khi taí chế aql ktra lại ok	11.13,.14.16.17	NULL	NULL	NULL	NULL	NULL	1	1	NULL	NULL
587	107	297	ASAHIKAWA Fire Department JK	297|DH_223|VK05	NULL	0	0	MAU_GD	GOLD	SIZE_LL	LL	36	0	36	5	1	NULL	NULL	2026-01-15 11:53:12.043	NULL	QA	0	2	2	1	2026-01-15 12:00:08.340	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL
1037	107	102	TSUBAME-YAHIKO Fire Department JK	102|DH_121|VK05	NULL	0	0	MAU_P_RD	P. RED	SIZE_4L	4L	1	0	1	1	NULL	NULL	NULL	2026-01-17 11:47:39.790	NULL	QA	0	5	3	1	2026-01-17 11:48:04.607	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL
888	102	145	KITARUMOI Fire Department PT	145|DH_154|VK05	NULL	0	0	MAU_GD	GOLD	SIZE_L	L	1	0	1	1	NULL	NULL	NULL	2026-01-16 18:06:58.637	NULL	QA	0	1	3	1	2026-01-16 18:17:04.807	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL
1839	102	148	AWA  Fire Department PT	148|DH_157|VK05	NULL	0	0	MAU_GD	GOLD	SIZE_4L	4L	1	0	1	1	NULL	NULL	NULL	2026-01-19 18:07:01.557	NULL	QA	0	13	3	1	2026-01-19 18:07:09.490	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL
1965	102	380	LTXF-ID_XA7YG	All	NULL	REG	REG	MAU_YG	GOLD	SIZE_SML	SML	1	0	1	1	NULL	NULL	NULL	2026-01-20 10:33:31.863	NULL	QA	0	2	3	1	2026-01-20 10:33:36.810	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL
