ID	Name	IDSub	AudioName	Sort	Description	IsLineName	GroupID	TimeWorkID	TimeLineID	GroupLightID	IsOnline	Rate_Red	Rate_Yellow	Rate_Green	BTP_Red	BTP_Yellow	BTP_Green	DelayF01	DelayF02	DelayF03	DelayF04	StyleIdTemp	IsReading	NKeyboard	CD_RateGreen	CD_RateYellow	KeyStatus	IsTerminal	Id_Factory	ReadAt
101	Daisy	101	Daisy.mp3	101	1	1	1	1	0	1	1	90	90	100	9	9	6	60	30	60	90	NULL	1	10	95	80	0-0-0-0	1	XN01	2
102	Cherry	102	Cherry.mp3	102	1	1	1	1	0	1	1	90	90	100	9	9	6	60	30	60	90	NULL	1	10	95	80	0-0-0-0	0	XN01	2
103	Tulip	103	Tulip.mp3	103	1	1	1	1	0	1	1	90	90	100	9	9	6	60	30	60	90	NULL	1	10	95	80	0-0-0-0	0	XN01	2
104	Orchid	104	Orchid.mp3	104	1	1	1	1	0	1	1	90	90	100	9	9	6	60	30	60	90	NULL	1	10	95	80	0-0-0-0	0	XN01	2
105	Cosmos	105	Cosmos.mp3	105	1	1	1	1	0	1	1	90	90	100	9	9	6	60	30	60	90	NULL	1	10	95	80	0-0-0-0	0	XN01	2
106	Iris	106	Iris.mp3	106	1	1	1	1	0	1	1	90	90	100	9	9	6	60	30	60	90	NULL	1	10	95	80	0-0-0-0	0	XN01	2
107	Antigone	107	Antigone.mp3	108	1	1	1	1	0	1	1	90	90	100	9	9	6	60	30	60	90	NULL	1	10	95	80	0-0-0-0	0	XN01	2
108	Lotus	108	Lotus.mp3	107	1	1	1	1	0	1	1	90	90	100	9	9	6	60	30	60	90	NULL	1	10	95	80	0-0-0-0	0	XN01	2
109	Pansy	109	Pansy.mp3	109	1	1	1	1	0	1	1	90	90	100	9	9	6	60	30	60	90	NULL	1	10	95	80	0-0-0-0	0	XN01	2
110	PVC	110	PVC.mp3	110	1	1	1	1	0	1	1	90	90	100	9	9	6	30	30	60	90	NULL	1	10	95	80	0-0-0-0	0	XN01	2
150	May mẫu	150	chi_tiet_1.mp3	150	1	1	1	1	0	1	0	81	81	90	9	9	6	30	90	30	30	NULL	1	13	95	80	0-0-0-0	0	XN01	2
160	Chi tiết 1	160	chi_tiet_1.mp3	160	1	1	1	1	0	1	0	81	81	90	9	9	6	30	90	30	30	NULL	1	13	95	80	0-0-0-0	0	XN01	2
170	Training	170	chi_tiet_1.mp3	170	1	1	1	1	0	1	0	81	81	90	9	9	6	30	90	30	30	NULL	1	13	95	80	0-0-0-0	0	XN01	2
591	Cắt	591	chi_tiet_1.mp3	591	1	1	1	1	0	1	0	81	81	90	9	9	6	30	90	30	30	NULL	1	13	95	80	0-0-0-0	0	XN01	2
592	Hoàn thành	152	chi_tiet_1.mp3	592	1	1	1	1	0	1	1	81	81	90	9	9	6	30	90	30	30	NULL	1	13	95	80	0-0-0-0	0	XN01	2
